"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0SA60","2020-04-27 00:00:00","6.000","38.000","0.600","22.000","0.870","1016.100","","0.000","-99.000","-99.000","-99.000","28.900","","19.900",""
"C0H950","2020-04-27 00:00:00","192.000","0.000","0.000","20.900","0.920","994.300","","0.000","-99.000","-99.000","-99.000","27.000","","19.100",""
"C0O960","2020-04-27 00:00:00","112.000","18.000","1.000","21.600","0.860","1002.100","","0.000","-99.000","-99.000","-99.000","29.100","","19.800",""
"C0E880","2020-04-27 00:00:00","507.000","83.000","2.300","18.100","0.980","958.600","","0.000","-99.000","-99.000","-99.000","21.700","","17.100",""
"C0AH10","2020-04-27 00:00:00","30.000","152.000","1.500","21.300","1.000","1013.800","","0.500","-99.000","-99.000","-99.000","22.400","","20.000",""
"C0R820","2020-04-27 00:00:00","588.000","0.000","0.000","20.900","0.850","951.100","","0.000","-99.000","-99.000","-99.000","34.000","","18.800",""
"C0R680","2020-04-27 00:00:00","13.000","42.000","2.900","23.500","0.930","1014.900","","7.500","-99.000","-99.000","-99.000","28.800","","22.900",""
"C0X210","2020-04-27 00:00:00","38.000","27.000","1.400","21.800","0.790","1009.900","","0.000","-99.000","-99.000","-99.000","27.700","","20.300",""
"C0D430","2020-04-27 00:00:00","87.000","0.000","0.000","19.400","0.950","1005.400","","0.000","-99.000","-99.000","-99.000","23.600","","18.200",""
"C0AD30","2020-04-27 00:00:00","20.000","125.000","1.500","21.500","0.690","1013.200","","0.000","-99.000","-99.000","-99.000","22.700","","20.000",""
"C0R240","2020-04-27 00:00:00","87.000","0.000","0.000","24.100","0.790","1005.200","","0.000","-99.000","-99.000","-99.000","33.400","","20.200",""
"C0AI30","2020-04-27 00:00:00","26.000","91.000","2.800","21.400","0.810","1015.400","","0.000","-99.000","-99.000","-99.000","22.100","","19.600",""
"C0U960","2020-04-27 00:00:00","1885.000","5.000","2.000","11.200","0.990","817.000","","1.000","-99.000","-99.000","-99.000","14.200","","9.900",""
"C0T9E0","2020-04-27 00:00:00","415.000","66.000","0.500","17.200","0.970","972.100","","2.500","-99.000","-99.000","-99.000","24.900","","17.200",""
"C0D550","2020-04-27 00:00:00","1956.000","0.000","0.000","10.900","0.970","813.400","","0.000","-99.000","-99.000","-99.000","14.700","","10.700",""
"C0C630","2020-04-27 00:00:00","209.000","82.000","2.100","18.800","0.740","992.700","","0.500","-99.000","-99.000","-99.000","20.900","","18.400",""
"C0F9X0","2020-04-27 00:00:00","166.000","16.000","1.900","19.900","0.860","996.900","","0.000","-99.000","-99.000","-99.000","24.000","","19.900",""
"C0F0D0","2020-04-27 00:00:00","3171.000","152.000","4.000","5.300","1.000","699.000","","0.500","-99.000","-99.000","-99.000","6.600","","4.400",""
"C0S730","2020-04-27 00:00:00","110.000","45.000","6.900","21.600","0.950","1004.000","","1.500","12.100","46.000","","26.500","","21.200",""
"C0V750","2020-04-27 00:00:00","50.000","14.000","1.500","23.800","0.810","1011.100","","0.000","-99.000","-99.000","-99.000","30.300","","22.000",""
"C0K530","2020-04-27 00:00:00","12.000","29.000","3.000","22.800","0.790","1014.500","","0.000","-99.000","-99.000","-99.000","24.800","","21.100",""
"C0M780","2020-04-27 00:00:00","30.000","55.000","0.500","21.400","0.780","1012.800","","0.000","-99.000","-99.000","-99.000","28.300","","20.500",""
"C0V360","2020-04-27 00:00:00","94.000","0.000","0.000","21.700","0.810","1004.900","","0.000","-99.000","-99.000","-99.000","32.600","","19.700",""
"C0K510","2020-04-27 00:00:00","10.000","353.000","1.900","21.600","0.830","1014.000","","0.000","-99.000","-99.000","-99.000","26.200","","20.600",""
"C0D650","2020-04-27 00:00:00","97.000","57.000","1.800","20.400","0.710","1005.600","","0.500","-99.000","-99.000","-99.000","23.000","","19.400",""
"C0V630","2020-04-27 00:00:00","19.000","351.000","1.900","23.400","0.720","1013.500","","0.000","-99.000","-99.000","-99.000","27.900","","21.900",""
"C0U910","2020-04-27 00:00:00","17.000","291.000","1.100","19.300","0.810","1016.300","","0.000","-99.000","-99.000","-99.000","23.200","","18.900",""
"C0U600","2020-04-27 00:00:00","10.000","261.000","0.800","19.300","0.990","1016.500","","0.000","-99.000","-99.000","-99.000","24.400","","18.700",""
